red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
885.5000,693.5000,-46.63051_-23.551836,539.5000,1096.5000,SF-23-Y-C,1674.0000,1618.5000,0.973064011047418,1,36204,SF-23-Y-C-VI
981.5000,776.0000,-46.604662_-23.541425,669.5000,1288.0000,SF-23-Y-C,1751.0000,1532.5000,0.832634055952621,1,36064,SF-23-Y-C-VI
1012.0000,855.0000,-46.61974_-23.576248,616.0000,1298.0000,SF-23-Y-C,1851.0000,1713.0000,0.237384001366821,1,36341,SF-23-Y-C-VI
1077.0000,1057.0000,-46.613278_-23.564401,839.0000,1490.0000,SF-23-Y-C,1719.0000,1602.0000,0.926206753241834,1,36054,SF-23-Y-C-VI
862.5000,701.0000,-46.631228_-23.56835,508.0000,1372.0000,SF-23-Y-C,1663.0000,1348.5000,0.485150687929435,1,36252,SF-23-Y-C-VI
1014.0000,846.5000,-46.623689_-23.579479,652.0000,1320.5000,SF-23-Y-C,1836.5000,1585.0000,0.280882896659417,1,36106,SF-23-Y-C-VI
1070.5000,889.0000,-46.640921_-23.587736,679.5000,1343.5000,SF-23-Y-C,1785.0000,1561.0000,0.096980013773727,1,36040,SF-23-Y-C-VI
582.0000,560.0000,-46.645588_-23.574453,454.5000,920.5000,SF-23-Y-C,894.0000,692.0000,0.816304382633243,1,36012,SF-23-Y-C-VI
591.5000,559.0000,-46.631946_-23.549323,515.0000,712.5000,SF-23-Y-C,829.0000,800.0000,0.139502174628279,1,36311,SF-23-Y-C-VI
580.5000,597.5000,-46.643793_-23.563683,506.5000,744.5000,SF-23-Y-C,834.5000,708.5000,0.617457981161488,1,36223,SF-23-Y-C-VI
508.5000,540.5000,-46.652409_-23.564042,416.0000,975.0000,SF-23-Y-C,866.0000,622.0000,0.020459253918902,1,36109,SF-23-Y-C-VI
631.0000,646.0000,-46.669641_-23.566555,500.0000,1546.0000,SF-23-Y-C,1302.0000,1037.0000,0.934067374816090,1,36049,SF-23-Y-C-VI
579.0000,583.0000,-46.654922_-23.57553,456.0000,1533.0000,SF-23-Y-C,1201.0000,919.0000,0.589453983486028,1,35993,SF-23-Y-C-VI
1023.0000,826.0000,-46.65205_-23.580915,549.0000,1509.0000,SF-23-Y-C,1931.0000,1604.0000,0.822216770346518,1,36236,SF-23-Y-C-VI
1201.0000,953.5000,-46.653127_-23.592044,640.5000,1692.5000,SF-23-Y-C,2107.0000,1845.5000,0.617430119523256,1,36356,SF-23-Y-C-VI
871.0000,800.0000,-46.664256_-23.606763,641.0000,1134.0000,SF-23-Y-C,1527.0000,1388.0000,0.505184240822680,1,36072,SF-23-Y-C-VI
